№,業者番号,会社名,所在地,電話番号,経審（Ｐ）,総合数値,ランク,geometry
29,1000001945,ハマニ株式会社,浜松市浜名区西中瀬三丁目１３番５号,588-7857,878,888,B,POINT(137.805328 34.824687)
30,1000002312,宮崎建設株式会社,浜松市中央区雄踏町宇布見８９９１‐９,592-0001,825,885,B,POINT(137.625247 34.70249)
31,1000001681,中村事業株式会社,浜松市浜名区細江町気賀２７８１番地の９,523-1158,844,884,B,POINT(137.647074 34.792546)
32,1000001971,株式会社原田総合計画,浜松市中央区上浅田一丁目１１ー３０,456-2822,874,884,B,POINT(137.728068 34.694692)
33,1000001977,有限会社番匠,浜松市中央区庄内町２１番地の１,487-4055,861,881,B,POINT(137.607373 34.75528)
34,1000002875,旭建設株式会社,浜松市中央区葵西五丁目１０‐７,430-0555,869,879,B,POINT(137.704336 34.774279)
35,1000001129,スヤマビルドサービス株式会社,浜松市中央区西山町１８３０‐２,485-5600,856,876,B,POINT(137.690249 34.742855)
36,1000001080,株式会社スズイチ,浜松市中央区入野町７４０番地の３,448-1155,863,873,B,POINT(137.698311 34.699443)
37,1000000309,エヌテックサービス株式会社,浜松市中央区住吉五丁目２６‐３６,412-0251,844,864,B,POINT(137.7334 34.732815)
38,1000005899,株式会社アビリティー,浜松市中央区天王町６３９,421-8091,846,856,B,POINT(137.772837 34.741585)
39,1000000872,サンケンハウス株式会社,浜松市中央区湖東町３０４３,486-1336,844,844,B,POINT(137.679553 34.759675)
40,1000008045,正光経常建設共同企業体,浜松市天竜区水窪町奥領家３６５８－４０,987-1118,794,844,B,POINT(137.871429 35.169123)
41,1000001315,高見建設株式会社,浜松市中央区海老塚町８５８,452-3211,821,841,B,POINT(137.73167 34.69562)
42,1000001072,株式会社杉浦建築店,浜松市中央区紺屋町３０６番地の１４,447-5892,830,840,B,POINT(137.726535 34.707528)
43,1000002926,株式会社マルハナ,浜松市中央区卸本町２０００番地の６,441-0141,824,834,B,POINT(137.725624 34.669325)
44,1000001720,株式会社西ヶ崎清水建設,浜松市中央区西ヶ崎町７３９番地,434-0477,798,828,B,POINT(137.772558 34.777005)
45,1000001474,東海アーバン開発株式会社,浜松市中央区大原町４４５‐１,488-5881,817,827,B,POINT(137.733437 34.804461)
46,1000000572,川本建設株式会社,浜松市中央区山下町１６２番地,471-1714,826,826,B,POINT(137.730523 34.717926)
47,1000000091,足立建設株式会社,浜松市浜名区平口６７８番地,586-2968,797,817,B,POINT(137.765764 34.802248)
48,1000000821,株式会社栄組,浜松市中央区萩丘１‐７‐２３,471-4428,774,814,B,POINT(137.726904 34.74987)
49,1000001668,中野町産業株式会社,浜松市中央区伊左地町３００７番地の１,485-2236,793,813,B,POINT(137.668085 34.744625)
50,1000002214,株式会社マブチ工業,浜松市中央区三方原町６２２‐８,437-5437,801,801,B,POINT(137.708534 34.777376)
51,1000000328,遠州稲垣建設株式会社,浜松市中央区本郷町７８５‐１,464-7295,800,800,B,POINT(137.760771 34.695261)
52,1000000776,株式会社五島組,浜松市中央区石原町５１７,425-3303,806,796,B,POINT(137.770072 34.690384)
53,1000008148,有限会社皆戸中建築,浜松市浜名区上島５４４番地の２,589-4443,791,791,B,POINT(137.810975 34.850879)
54,1000000536,神谷建設株式会社,浜松市中央区鴨江二丁目３５番２４号,454-4336,744,784,B,POINT(137.714542 34.703448)
